HDP ID,Project number,Active status,Archive date,Study name,Year Awarded,Registered,Clinical Trials ID,SLMD completion %,Repository selection,Data link(s) submitted,VLMD submitted - Data Dictionary,VLMD submitted - CDE,HEAL Research Program,NIH RePORTER link,Study PIs,DOI Identifier
HDP00321,1RF1NS113881-01,live,,Discovery and validation of a new long noncoding RNA as a novel target for neuropathic pain,2019,No,,11.5,,,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9869481,"Steve  Davidson, Yuan-Xiang  Tao",
HDP00322,1R34DA050287-01,archived,2024-08-06T11:25:12.198546,4:4 Investigation of opioid exposure and neurodevelopment (iOPEN),2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9899554,"Veerle  Bergink, Moriah E Thomason",
HDP00323,1UG3AR076568-01,archived,2024-07-05T13:43:06.744915,Proof of concept study to treat negative affect in chronic low back pain,2019,No,,11.5,,,No,No,Back Pain Consortium Research Program,https://reporter.nih.gov/project-details/9881969,AJAY D WASAN,
HDP00324,1U24NS115708-01,archived,2025-06-18T15:29:31.128183,University of Pittsburgh Hub and Spoke Pain Clinical Trial Network,2019,Yes,,42.3,,,No,No,Early Phase Pain Investigation Clinical Network (EPPIC-Net),https://reporter.nih.gov/project-details/9941765,"Benedict J Alter, AJAY D WASAN",
HDP00325,1UG3NS115637-01,live,,Clinical Translation of Ultrasonic Ketamine Uncaging for Non-Opioid Therapy of Chronic Pain,2019,Yes,,7.7,GitHub,https://github.com/Airan-Lab/diianni2023-ketamine-fUSI,No,No,Translating Discoveries into Effective Devices to Treat Pain,https://reporter.nih.gov/project-details/9932733,"Raag D Airan, Nolan R. Williams",
HDP00326,1UG3DA047925-01,live,,Development of a 3-month implantable depot pellet of Naltrexone for the treatment of Opioid Use Disorder.,2019,Yes,NCT04828694,76.9,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9697952,Balbir  Brar,10.60490/HDP00326
HDP00327,1UG3NS123965-01,archived,2025-06-18T15:29:31.562980,"Novel, non-opioid, non-addictive intrathecal therapy for the treatment of chronic pain",2021,No,,11.5,,,No,No,Development and Optimization of Non-Addictive Therapies to Treat Pain,https://reporter.nih.gov/project-details/10304647,James N Campbell,
HDP00328,1U18EB029351-01,live,,Development of an MRgFUS system for precision-targeted neuromodulation of pain circuits with simultaneous functional MRI,2019,Yes,,7.7,OpenNEURO,https://openneuro.org/datasets/ds004265/versions/1.1.2,No,No,Translating Discoveries into Effective Devices to Treat Pain,https://reporter.nih.gov/project-details/9932739,"Charles F Caskey, Li Min  Chen, William A Grissom",
HDP00329,1U01DA055349-01,archived,2024-05-30T13:43:35.922192,10/24 Healthy Brain and Child Development National Consortium,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10380302,"Julie May Croff, Jennifer  Hays-Grudo, AMANDA S MORRIS",
HDP00330,1R61NS113269-01,live,,Validation of a novel cortical biomarker signature for pain,2019,Yes,NCT04241562,28.8,"OpenNEURO, Open Science Framework","https://openneuro.org/datasets/ds005486, https://osf.io/r3m9g/",Yes,Yes,"Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions",https://reporter.nih.gov/project-details/9828948,"Joyce Teixeira Da Silva, Siobhan  Schabrun, David  Seminowicz",
HDP00331,1R34DA050044-01,live,,Improving health and employment outcomes through workplace opioid policies,2019,Yes,NCT05387408,75.0,NAHDAP,https://www.icpsr.umich.edu/web/NAHDAP/studies/38967,Yes,No,Preventing Opioid Use Disorder,https://reporter.nih.gov/project-details/9877133,Ann Marie Dale,10.60490/HDP00331
HDP00332,1R61AT010604-01,live,,Testing the Effects of Contingency Management and Behavioral Economics on Buprenorphine-Naloxone Treatment Adherence Using a Sequential Multiple Assignment Randomized Trial (SMART) Design,2019,Yes,NCT04464421,84.6,NAHDAP,,No,No,Behavioral Research to Improve Medication-Based Treatment,https://reporter.nih.gov/project-details/9867305,Karen J Derefinko,10.60490/HDP00332
HDP00333,1UG3DA050322-01,archived,2024-12-20T12:05:28.893194,Preclinical and clinical evaluation of the NMDA modulator NYX-783 for OUD,2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9905187,"RALPH J DILEONE, ROBERT T MALISON, Rajita  Sinha, Jane R Taylor",
HDP00334,1K01DA044279-01A1,live,,Preventing Substance Use Among Youth: Behavioral and Economic Impact of Enhanced Implementation Strategies for Communities,2019,Yes,NCT04752189,84.6,NAHDAP,,No,No,Preventing Opioid Use Disorder,https://reporter.nih.gov/project-details/9524666,Andria B Eisman,10.60490/HDP00334
HDP00335,1UG1DA049444-01,archived,2025-01-07T13:03:11.209799,Greater Intermountain Node,2019,Yes,NCT03936985,25.0,,,No,No,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,https://reporter.nih.gov/project-details/9838598,"Gerald T. Cochran, Adam Joseph Gordon",
HDP00336,1R61HL156248-01,live,,Treatment of Fentanyl Overdose-Induced Respiratory Failure by Low-Dose Dexmedetomidine,2020,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/10132101,Philippe A Haouzi,
HDP00337,1R61NS113329-01,live,,Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,2019,Yes,,82.7,,,Yes,Yes,"Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions",https://reporter.nih.gov/project-details/9829265,Georgene W Hergenroeder,10.60490/HDP00337
HDP00338,1U24NS115679-01,archived,2023-08-22T13:45:13.587225,MACC/EPICC-Net as a Hub for the HEAL Initiative EPICC-Net,2019,No,,11.5,,,No,No,Early Phase Pain Investigation Clinical Network (EPPIC-Net),https://reporter.nih.gov/project-details/9939270,"TOM Paul AUFDERHEIDE, Jennifer Lynn Hernandez-Meier",
HDP00339,1R43DE029369-01,live,,A Novel Opioid-Free Targeted Pain Control Method for Acute Post-Operative Localized Pain Related to Oral Surgical Procedures,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9908492,"Rahul  Jadia, George  Kay",
HDP00340,1UG1HD107628-01,archived,2024-11-04T13:39:26.892680,Thomas Jefferson University Hospital Clinical Site for HEAL NOWS Pharmacologic Trial,2021,No,,11.5,,,No,No,Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW),https://reporter.nih.gov/project-details/10378979,"Susan  Adeniyi-Jones, WALTER K KRAFT",
HDP00341,1UG1DA049436-01,archived,2025-01-07T13:03:08.204541,Appalachian Node,2019,No,,11.5,,,No,No,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,https://reporter.nih.gov/project-details/9837725,"JUDITH  FEINBERG, JANE M LIEBSCHUTZ",
HDP00342,1UG3DA048508-01,live,,Combined tDCS and Cognitive Training for the Treatment of Opioid Addiction,2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9750304,KELVIN O. LIM,
HDP00343,1R01DA046532-01A1,live,,Evaluation of drug mixtures for treating pain: behavioral and pharmacological interactions between opioids and serotonin agonists,2019,No,,11.5,Harvard Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JOC9GC,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9684195,DAVID Richard MAGUIRE,
HDP00344,1UH2AR076724-01,archived,2025-01-08T15:36:38.559224,"Technology Research Site for Advanced, Faster Quantitative Imaging for BACPAC",2019,Yes,,86.5,,,No,No,Back Pain Consortium Research Program,https://reporter.nih.gov/project-details/9897929,Sharmila  Majumdar,10.60490/HDP00344
HDP00345,1UF1DA053806-01A1,live,,Development of a novel OTC naloxone product to be affordably priced and widely accessible,2021,Yes,,75.0,NAHDAP,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/10400589,Ashanthi  Mathai,10.60490/HDP00345
HDP00346,1R43NS115294-01,live,,Developing EXP-1801 as an imaging agent to quantify pain and analgesia,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9909162,Braxton  Norwood,
HDP00347,1UG3NS116218-01,live,,Novel mGlu5 negative allosteric modulators as first-in-class non-addictive analgesic therapeutics,2019,No,,11.5,,,No,No,Development and Optimization of Non-Addictive Therapies to Treat Pain,https://reporter.nih.gov/project-details/9957953,"P Jeffrey Conn, Robert W Gereau, CRAIG  LINDSLEY, Jerri Michelle Rook",
HDP00348,1R43DA047781-01,live,,A Novel Fast Acting Nalmefene Formulation for the Prevention and Treatment of Opioid Overdose,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9680193,Niraj  Vasisht,
HDP00349,1UH2AR076731-01,live,,"Development, Evaluation and Translation of Robotic Apparel for Alleviating Low Back Pain",2019,Yes,,73.1,Vivli,,Yes,Yes,Back Pain Consortium Research Program,https://reporter.nih.gov/project-details/9898052,Conor  Walsh,10.60490/HDP00349
HDP00350,1UG3DA050923-01,live,,AMPA Antagonism: A Novel Pharmacology for Launching Recovery from Opioid Addiction,2020,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9968676,"ROBERT ANDREW CHAMBERS, Christopher Francis Toombs",
HDP00351,1R34DA050340-01,archived,2024-08-06T11:25:06.416256,2/6 Planning for the HEALthy Early Development Study,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900364,"Claire D Coles, Julie A Kable",
HDP00352,1R34DA050292-01,archived,2024-08-06T11:24:59.998477,HEALthy ORCHARD: Developing plans for a Baltimore site of the HEALthy BCD study,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9898784,M Daniele Fallin,
HDP00353,1R61AT010614-01,live,,The Youth Opioid Recovery Support (YORS) Intervention: An assertive community treatment model for improving medication adherence in young adults with opioid use disorder,2019,Yes,NCT04173416,38.5,NAHDAP,,No,No,Behavioral Research to Improve Medication-Based Treatment,https://reporter.nih.gov/project-details/9869524,MARC  FISHMAN,
HDP00354,1R44DA051272-01,live,,"A patient self-assessment software combining compliance protocols to improve prescriber confidence, reduce liability, and improve patient outcomes.",2020,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/10013399,ABRAHAM G HARTZEMA,
HDP00355,1U01DA055365-01,archived,2024-05-30T13:43:26.770388,3/24 Healthy Brain and Child Development National Consortium,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10378902,"Sara Bonamo DeMauro, Hao  Huang",
HDP00356,1U19AR076737-01,live,,UCSF Core Center for Patient-centric Mechanistic Phenotyping in Chronic Low Back Pain,2019,Yes,,63.5,Vivli,https://doi.org/10.25934/PR00010929,No,No,Back Pain Consortium Research Program,https://reporter.nih.gov/project-details/9898132,JEFFREY C. LOTZ,10.60490/HDP00356
HDP00357,1U01DA050442-01,live,,Using Implementation Interventions and Peer Recovery Support to Improve Opioid Treatment Outcomes in Community Supervision,2019,Yes,NCT04978168,34.6,"JCOIN, NAHDAP",,Yes,No,Justice Community Opioid Innovation Network,https://reporter.nih.gov/project-details/9917204,"Lauren  Brinkley-Rubinstein, ROSEMARIE A MARTIN, Damaris J. Rohsenow",
HDP00358,1UG3TR003150-01,live,,Human Microphysiological Model of Afferent Nociceptive Signaling,2019,No,,11.5,,,No,No,Translational Research to Advance Testing of Novel Drugs and Human Cell-Based Screening Platforms to Treat Pain and Opioid Use Disorder,https://reporter.nih.gov/project-details/9883576,"Randolph S Ashton, Michael J Moore, Swaminathan  Rajaraman",
HDP00359,1R34DA050289-01,archived,2024-08-06T11:25:13.562139,4/5 The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9898607,CHARLES Alexander NELSON,
HDP00360,1UM1DA049394-01,live,,HEALing Communities Study Data Coordinating Center,2019,Yes,NCT04111939,28.8,ICPSR,,Yes,No,HEALing Communities Study,https://reporter.nih.gov/project-details/9833817,"LaShawn  Glasgow, Emmanuel Aja Oga, GARY A ZARKIN",
HDP00361,1U01DA055361-01,archived,2024-05-30T13:43:28.515501,13/24 The Healthy Brain and Child Development National Consortium,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10378969,"Koraly E Perez-Edgar, Aleksandra Ewa Zgierska",
HDP00362,1UG1DA050066-01,live,,Reducing Opioid Mortality in Illinois (ROMI),2019,Yes,NCT04925427,86.5,"JCOIN, NAHDAP",,Yes,No,Justice Community Opioid Innovation Network,https://reporter.nih.gov/project-details/9882847,"HAROLD Alexander POLLACK, Mai Tuyet Pho, John  Schneider",10.60490/rh7x-my08
HDP00363,1R01DA051067-01,live,,Hub and Spoke Opioid Treatment Networks: 2nd Generation Approaches to Improve Medication Treatment for Opioid Use Disorders,2019,Yes,,69.2,ICPSR,,No,No,Behavioral Research to Improve Medication-Based Treatment,https://reporter.nih.gov/project-details/9894581,SHARON  REIF,10.60490/HDP00363
HDP00364,1R01NS113257-01,live,,Discovery and validation of a novel orphan GPCR as a target for therapeutic intervention in neuropathic pain,2019,Yes,,7.7,Zenodo,", https://doi.org/10.5281/zenodo.13380935",No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9827922,"DANIELA  SALVEMINI, Gina L.C. Yosten",
HDP00365,1R01AR077890-01,live,,Validation of Novel Target for OA Treatment,2020,Yes,,7.7,Figshare,,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/10055369,THOMAS J ROYSTON,
HDP00366,1U19AR076725-01,live,,"HEALing LB3P: Profiling Biomechanical, Biological and Behavioral phenotypes",2019,Yes,,80.8,"Vivli, Database of Genotypes and Phenotypes (dbGaP)",", https://doi.org/10.25934/PR00011066",Yes,Yes,Back Pain Consortium Research Program,https://reporter.nih.gov/project-details/9897962,"Gwendolyn A Sowa, NAM V VO",10.60490/HDP00366
HDP00367,1U01DA055359-01,archived,2024-05-30T13:43:27.951272,18/24 Healthy Brain and Child Development National Consortium,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10378982,"Ludmila Nicole Bakhireva, LAWRENCE M LEEMAN",
HDP00368,1R43DA046973-01,live,,Device to Measure Pain using Facial Expression Recognition Integrated with Patient PAINReportIt Tablet,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9608544,"Rashid  Ansari, Ahmet Enis Cetin, Zhanli  Chen, Diana  Wilkie",
HDP00369,1R61NS113315-01,live,,Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,2019,Yes,,7.7,,,Yes,Yes,"Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions",https://reporter.nih.gov/project-details/9829475,Catherine Daniela Chong,
HDP00370,1R01NS117340-01,live,,B Lymphocyte-Mediated Autoimmunity in Pain After Trauma,2020,No,,11.5,,,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9972347,DAVID J. CLARK,
HDP00371,1UG3DA050317-01,live,,Targeting the Ghrelin System for Novel Opioid Use Disorder Therapeutics,2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9905262,Kathryn A. Cunningham,
HDP00372,1UG3DA048387-01A1,live,,Methocinnamox (MCAM): A novel -opioid receptor antagonist for opioid use disorders,2019,Yes,,53.8,Harvard Dataverse,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9891326,CHARLES P FRANCE,10.60490/HDP00372
HDP00373,1R01DA048417-01,live,,A novel opioid receptor antagonist for treating abuse and overdose,2019,Yes,,7.7,Harvard Dataverse,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9735591,CHARLES P FRANCE,
HDP00374,1UG3DA050303-01,live,,Development of an implantable closed-loop system for delivery of naloxone for the prevention of opioid-related overdose deaths,2019,Yes,,7.7,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9902945,"Robert W Gereau, John  Rogers",
HDP00375,1R34DA050299-01,archived,2024-08-06T11:25:03.226768,Florida Development in Early Childhood: Adversity and Drug Exposure (FL-DECADE) Study,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9899532,Matthew James Gurka,
HDP00376,1UG3DA049599-01,archived,2025-04-21T17:25:45.413351,Development of a Potent and Highly Selective NaV1.7 Inhibitor for the Treatment of Acute Pain with the Goal of Reducing Opioid Use and Preventing Opioid Use Disorders,2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9843839,"John Cureton Hunter, Debra  Odink",
HDP00377,1UG3DA050316-01,live,,"Development of SBI-553, an allosteric modulator of NTR1, for the treatment of substance use disorders",2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9905430,"LAWRENCE S. BARAK, Marc G. Caron, Jeffrey T Guptill, Michael  Jackson",
HDP00378,1U01DK123812-01,archived,2024-05-14T10:52:08.179599,Pain Reduction and Opioid MedIcation Safety in ESRD (PROMISE) study,2019,No,,11.5,,,No,No,Integrated Approach to Pain and Opioid Use in Hemodialysis Patients,https://reporter.nih.gov/project-details/9901704,"Manisha  Jhamb, JANE M LIEBSCHUTZ, JENNIFER L. STEEL, Jonathan G Yabes",
HDP00379,1U01DA055362-01,archived,2024-05-30T13:43:37.085390,2/24 Healthy Brain and Child Development National Consortium,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10378952,"PAT  LEVITT, Beth A Smith, Jessica L Wisnowski",
HDP00380,1UG3DA048375-01,live,,"The long-term reduction of pain and opioid usage following mastectomy and tissue expander/implant surgery with a single administration of brivoligide, a non-opioid, disease-modifying drug candidate",2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9736358,"DONALD C MANNING, Julien  Mamet",
HDP00381,1R44DA050339-01,live,,Transforming smartphones into active sonar systems to detect opioid overdose,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9906080,Nicholas Maxwell Mark,
HDP00382,1U44NS115632-01,live,,Implantable Peripheral Nerve Stimulator for Treatment of Phantom Limb Pain,2019,No,,11.5,,,No,No,Translating Discoveries into Effective Devices to Treat Pain,https://reporter.nih.gov/project-details/9932778,Andrew  Wilder,
HDP00383,1R34DA050256-01,archived,2024-08-06T11:24:57.660298,5/5 HEAL Consortium: Establishing Innovative Approaches  for the HEALthy Brain and Child Development Study,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900516,Nancy L McElwain,
HDP00384,1U44NS115111-01,live,,"High-Resolution, Spinal Cord Stimulation for Non-Opioid Treatment of Neuropathic Pain",2019,Yes,NCT05045625,28.8,Mendeley Data,https://data.mendeley.com/datasets/rmj2kngzbp,No,No,Translating Discoveries into Effective Devices to Treat Pain,https://reporter.nih.gov/project-details/9898661,Bryan L McLaughlin,
HDP00385,1U44NS111779-01,live,,Discovery of NaV1.7 Inhibitors for the Treatment of Pain,2019,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9761823,"John Vincent Mulcahy, Debra  Odink",
HDP00386,1R21AT010125-01,archived,2023-10-17T12:55:27.291101,Effect of Mindfulness Training on Opioid Use and Anxiety During Primary Care Buprenorphine Treatment,2018,No,,11.5,,,No,No,Behavioral Research to Improve Medication-Based Treatment,https://reporter.nih.gov/project-details/9627632,Zev David Schuman Olivier,
HDP00387,1UH2AR076741-01,live,,Imaging Epigenetic Dysregulation in Patients with Low Back Pain,2019,Yes,,55.8,"OpenNEURO, Vivli",", https://openneuro.org/datasets/ds007135",Yes,Yes,Back Pain Consortium Research Program,https://reporter.nih.gov/project-details/9897251,Hsiao-Ying  Wey,10.60490/HDP00387
HDP00388,1R01DE029187-01,live,,LIGHT and Lymphotoxin targeting for the treatment of chronic orofacial pain conditions,2019,Yes,,7.7,SPARC,https://doi.org/10.26275/gaap-zlpj,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9869574,"ARMEN N AKOPIAN, Shivani B Ruparel, Alexei V Tumanov",
HDP00389,1UG3DA048743-01,live,,"Advancing KNX100 for the treatment of opioid withdrawal: preclinical efficacy and toxicology, and a phase 1 clinical program.",2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9794170,"Hugh William Alsop, Michael Thomas Bowen, Iain Stewart McGregor",
HDP00390,1R43CA233371-01A1,live,,Inhibiting soluble epoxide hydrolase as a treatment for chemotherapy inducedperipheral neuropathic pain,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9776687,Alan R Buckpitt,
HDP00391,1UG3AG067593-01,archived,2025-02-24T11:28:11.322938,Non-pharmacological Options in postoperative Hospital-based And Rehabilitation pain Management (NOHARM) pragmatic clinical trial,2019,Yes,NCT05166356,25.0,ICPSR,,No,No,Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing (PRISM),https://reporter.nih.gov/project-details/9876435,"Andrea Lynne Cheville, Jon C Tilburt",
HDP00392,1ZIATR000345-01,live,,HEAL: 3D Bioprinted Tissue Models,2018,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9770485,Marc  Ferrer-Alegre,
HDP00393,1R34DA050270-01,archived,2024-08-06T11:25:10.842463,1/3 Promoting Resilience in Children: Protocol Development for a Birth Cohort Study To Assess Factors Impacting Neurodevelopment,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900227,"Ellen  Goldstein, Aleksandra Ewa Zgierska",
HDP00394,1UG1DA049435-01,archived,2025-01-07T13:03:11.630446,Greater Southern California Node of the Clinical Trials Network,2019,No,,11.5,,,No,No,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,https://reporter.nih.gov/project-details/9837724,"YIH-ING  HSER, Larissa Jeanette Mooney",
HDP00395,1R21AT010106-01,live,,Psychosocial pain management to improve opioid use disorder treatment outcomes,2018,Yes,NCT04433975,80.8,Vivli,https://doi.org/10.25934/PR00012435 ,No,No,Behavioral Research to Improve Medication-Based Treatment,https://reporter.nih.gov/project-details/9625715,MARK A. ILGEN,10.60490/HDP00395
HDP00396,1R42DA050398-01,live,,Technology Improving Success of Medication-Assisted Treatment in Primary Care,2019,Yes,NCT05017272,67.3,,,No,No,,https://reporter.nih.gov/project-details/9912034,Steven Paul Jenkins,10.60490/HDP00396
HDP00397,1R01HL150836-01,live,,"Sleep, opiate withdrawal and the N/OFQ - NOP system",2019,No,,11.5,National Sleep Research Resource (NSRR),"https://sleepdata.org/datasets/nop-nhp, https://sleepdata.org/datasets/cmmw",No,No,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,https://reporter.nih.gov/project-details/9882676,"Michael R Bruchas, Thomas S Kilduff",
HDP00398,1UG3DA050271-01,live,,R-methadone-TAAP/MPAR: an abuse deterrent methadone prodrug with overdose protection: Pre-Clinical Development and Phase 1 Clinical Trial,2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9900195,Lynn  Kirkpatrick,
HDP00399,1UG3DA047708-01,live,,Development of a safe and effective novel mechanism analgesic to treat moderate to severe pain with low or absent abuse liability.,2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9676930,"MICHAEL William LARK, James E Zadina",
HDP00400,1R43DA049616-01,live,,Development and Evaluation of Computerized Chemosensory-Based Orbitofrontal Cortex Training (CBOT) for relapse preventionin patients with Opioid Use (OUD),2019,Yes,NCT04850664,36.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9848428,"WILLIAM Bradford LAWSON, Evaristus A Nwulia",
HDP00401,1R01CA249939-01,live,,Identification of novel targets for the treatment of chemotherapy-induced painful peripheral neuropathy,2020,Yes,,51.9,Figshare,,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9966143,Ohannes Kevork Melemedjian,10.60490/HDP00401
HDP00402,1R34DA050268-01,archived,2024-08-06T11:24:56.642276,4/5 HEAL Consortium: Establishing Innovative Approaches  for the HEALthy Brain and Child Development Study,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900280,"STEPHANIE L MERHAR, JENNIFER J. VANNEST",
HDP00403,1UG3AT010739-01,archived,2025-02-24T11:28:13.994281,Pragmatic Trial of Acupuncture for Chronic Low Back Pain in Older Adults,2019,Yes,NCT04982315,88.5,,,No,No,Pragmatic and Implementation Studies for the Management of Pain to Reduce Opioid Prescribing (PRISM),https://reporter.nih.gov/project-details/9893381,"LYNN L. DeBAR, ANDREA COOK",10.60490/HDP00403
HDP00404,1R34DA050297-01,archived,2024-08-06T11:25:14.904637,"A feasibility study of novel technologies to minimize motion-induced biases in functional and structural MRI of young, opioid-affected cohorts",2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900231,"Allyson Patricia Mackey, Matthew Dylan Tisdall",
HDP00405,1R41NS113717-01,live,,"Pre-clinical evaluation of DT-001, a small molecule antagonist of MD2-TLR4 for utility in the treatment of pain.",2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9847817,"Krishnan  Chakravarthy, TONY L. YAKSH",
HDP00406,1PL1HD101059-01,archived,2024-02-08T14:17:40.283716,CWRU Site for HEAL: Longitudinal Initiative in Opioid Exposed Newborns.Outcomes of Babies Exposed to Opioids.,2019,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9901880,Michele  WALSH,
HDP00407,1PL1HD101059-01,archived,2024-02-08T14:17:40.869489,Outcomes of Babies with Opioid Exposure (OBOE),2019,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9901878,Sara Bonamo DeMauro,
HDP00408,1PL1HD101059-01,archived,2024-02-08T14:17:41.429572,Research Support Core - Outcomes of Babies with Opioid Exposure (OBOE),2019,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9901876,CARLA M BANN,
HDP00409,1U19AR076725-01,archived,2024-07-05T13:43:04.080272,"HEALing LB3P: Profiling Biomechanical, Biological and Behavioral phenotypes",2019,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9897965,NAM V VO,
HDP00410,1U19AR076725-01,archived,2024-09-24T14:27:12.784616,"HEALing LB3P: Profiling Biomechanical, Biological and Behavioral phenotypes",2019,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9897967,CAROL MARIE GRECO,
